customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,CustomerFeedback,MonthlyIncome
7799-DSEWS,Male,0,No,No,18,Yes,No,DSL,Yes,No,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,68.35,1299.8,"""I have been a customer with this company for 18 months now and have been on a month-to-month contract. I have been satisfied with the DSL internet service I have been receiving for the monthly charge of $68.35. The electronic check payment method is convenient for me and I have not experienced any issues with billing. Overall, I am happy with the service and have no plans to churn in the near future.""",3350
5568-DMXZS,Female,0,No,No,8,Yes,No,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,65.45,554.45,"I have been a customer with this DSL internet provider for 8 months now on a month-to-month contract. I have been satisfied with the service overall. The monthly charges of $65.45 are reasonable for the speeds and reliability I receive. I appreciate the convenience of paying with electronic check. I have not experienced any issues with connectivity or customer service, so I have not felt the need to churn to a different provider. I would recommend this provider to others looking for a reliable and affordable internet service.",3845
7813-TKCVO,Female,0,Yes,No,20,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.35,393.15,"I have been a customer with this company for 20 months now and I have been satisfied with their service. I appreciate the affordable monthly charges of $20.35 and the convenience of being able to pay via mailed check. While I do not have internet service with this company, I have not experienced any issues with my current services. Overall, I am happy with my experience and have no plans to churn in the near future.",1086
9067-SQTNS,Male,0,Yes,Yes,44,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),20.6,926.0,"I have been a customer with this company for 44 months now, and I am happy to say that I have not experienced any issues with churn. The one-year contract type and automatic bank transfer payment method have made my experience with the company hassle-free. Although I do not use their internet service, I find the monthly charges of $20.6 to be reasonable. Overall, I am satisfied with the service and would recommend it to others.",7281
9730-DRTMJ,Male,0,Yes,No,32,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,One year,Yes,Credit card (automatic),72.8,2333.05,"I have been a customer with this company for over 2 and a half years and have been satisfied with the DSL internet service they provide. The monthly charges of $72.8 are reasonable for the speed and reliability of the connection. The automatic credit card payment method is convenient and hassle-free. I have not experienced any issues with the service and have no plans to churn in the near future. Overall, I am happy with my experience as a customer.",7026
8625-AZYZY,Male,0,Yes,No,24,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,104.65,2542.45,"I had been a customer with this company for 24 months on a month-to-month contract with a monthly charge of $104.65 for fiber optic internet service. I used electronic check as my payment method. Unfortunately, I decided to churn as I found a better deal with another provider. I was overall satisfied with the service during my time as a customer, but the cost was a determining factor in my decision to switch.",4487
5976-JCJRH,Male,0,Yes,No,10,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.3,738.2,"I had been a customer of this company for 10 months, using their fiber optic internet service on a month-to-month contract with monthly charges of $70.3. However, I recently decided to churn and switch to a different provider. While the internet service itself was reliable and fast, I found the monthly charges to be a bit high compared to other options available in the market. Additionally, I had some issues with the electronic check payment method, which was not as convenient for me as I had hoped. Overall, I was satisfied with the service but ultimately decided to move on due to cost and payment method issues.",6243
7359-PTSXY,Male,0,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,45.75,45.75,"I recently signed up for DSL internet service with this provider on a month-to-month contract. Unfortunately, after only 1 month of service, I decided to cancel due to slow and unreliable internet speeds. Despite the affordable monthly charge of $45.75, the service did not meet my expectations. Additionally, the payment method of electronic check was convenient but did not make up for the subpar internet service. I would not recommend this provider to others looking for reliable internet service.",6231
5214-NLTIT,Male,0,Yes,Yes,72,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Two year,Yes,Credit card (automatic),90.8,6511.8,I have been a customer with this company for six years now and have been using their fiber optic internet service. I have had no issues with the service and have always paid my monthly bill on time through automatic credit card payments. The monthly charges are reasonable at $90.8 and I have been satisfied with the overall service provided. I have no plans to switch providers as of now.,9722
5220-AGAAX,Male,0,Yes,Yes,68,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),24.0,1664.3,"I have been a customer with this company for over 5 years now and I have been satisfied with the service. The automatic bank transfer payment method is convenient and hassle-free. Even though I do not have internet service with this company, I find the $24.0 monthly charges for other services to be reasonable. Overall, I have had a positive experience with this company and have no complaints.",2660
7508-SMHXL,Female,1,No,No,15,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Credit card (automatic),89.0,1288.3,"I have been a customer with this internet service provider for 15 months now and I have been really satisfied with the service. The fiber optic internet is fast and reliable, and I have had no issues with connectivity. The automatic credit card payment method is convenient for me and I appreciate not having to worry about remembering to pay my bill each month. The monthly charges of $89.0 are reasonable for the quality of service I am receiving. Overall, I am happy with my experience and would recommend this provider to others.",1328
8982-NHAVY,Male,0,No,No,27,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),100.5,2673.45,"I have been a customer with this company for 27 months now and I am very satisfied with their service. The fiber optic internet service is fast and reliable, and I have experienced no issues with downtime or slow speeds. The automatic bank transfer payment method is convenient and hassle-free. The monthly charges of $100.5 are reasonable for the quality of service provided. Overall, I have had a positive experience with this company and would recommend them to others.",8489
1468-DEFNC,Male,1,Yes,Yes,64,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),24.4,1548.65,"I have been a customer with this company for over 5 years now and I have been very satisfied with their service. The automatic bank transfer payment method makes it convenient for me to pay my bill on time every month. Even though I do not have internet service with them, the monthly charges are very reasonable at $24.4. Overall, I have had no issues with their service and I am happy to continue being a customer.",3138
1428-IEDPR,Male,0,No,No,52,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,109.3,5731.4,"I have been a customer with this company for over four years now and I have been extremely satisfied with the service. The fiber optic internet has been reliable and fast, and I have never experienced any issues with the connection. The monthly charges are reasonable for the quality of service provided. I appreciate the convenience of paying with electronic check. Overall, I have no complaints and would highly recommend this company to others.",4709
6429-SHBCB,Male,0,No,No,19,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,69.6,1394.55,"I have been a customer with this company for 19 months now and I am happy to say that I have not experienced any issues with their service. I am on a month-to-month contract with a monthly charge of $69.6 for DSL internet service. I prefer to pay by mailing a check and have had no problems with the payment process. Overall, I am satisfied with the service provided and have no plans to churn in the near future.",7842
3946-MHCZW,Male,0,No,No,1,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,50.9,50.9,"""I recently signed up for DSL internet service with this company on a month-to-month contract. Unfortunately, after just one month, I decided to cancel and churn to a different provider. The monthly charges were reasonable at $50.9, but I found the DSL internet to be unreliable and slow. Additionally, having to pay by mailed check was inconvenient and outdated. Overall, I was disappointed with the service and will be looking for a better option moving forward.""",5432
3813-DHBBB,Male,0,Yes,No,67,No,No phone service,DSL,Yes,Yes,No,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),50.95,3521.7,"I have been a loyal customer of this DSL internet service provider for over 5 years now and I am extremely satisfied with their service. The automatic bank transfer payment method has made my billing process hassle-free and the monthly charges of $50.95 are very reasonable for the quality of internet service I receive. I have never experienced any disruptions or downtime with my internet connection, and I would highly recommend this provider to others looking for a reliable and affordable internet service.",6300
7234-KMNRQ,Male,0,No,No,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.0,73.45,"I have been a customer with this company for 4 months now and I am pleased to say that I have had no issues with churning. The month-to-month contract type works well for me and the $19.0 monthly charges are very reasonable. However, I do not have internet service with this company. I prefer to pay via mailed check and have had no problems with the payment method. Overall, I am satisfied with the service I have received so far.",8004
3635-QQRQD,Male,0,No,No,62,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),20.05,1201.65,"I have been a customer with this company for over 5 years now and I have been very satisfied with the service. The automatic credit card payment option makes it convenient for me to pay my bill on time every month. Even though I do not have internet service with them, the monthly charges are very reasonable at $20.05. I have not experienced any issues with my contract or billing and overall, I am happy with the service provided.",3637
9626-WEQRM,Female,0,No,No,4,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,29.15,110.05,"I have been a customer with this DSL internet service provider for 4 months now on a month-to-month contract. I have not experienced any issues with my service and have not had any reason to consider switching providers. The monthly charge of $29.15 is affordable and the payment method of mailing a check works well for me. Overall, I am satisfied with the service and do not have any complaints.",8087
5835-BEQEU,Male,0,No,No,3,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.95,228.4,"I recently switched to this internet service provider three months ago, opting for the month-to-month contract with a monthly charge of $76.95. The fiber optic internet service is fast and reliable, but unfortunately, I have decided to churn due to personal reasons. The payment method of electronic check was convenient and hassle-free. Overall, I have had a positive experience with the service and would consider returning in the future.",3527
1374-DMZUI,Female,1,No,No,4,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.3,424.45,"I recently switched to this fiber optic internet service provider about 4 months ago on a month-to-month contract. The monthly charges are reasonable at $94.3. However, I have decided to churn and switch to a different provider due to inconsistent speeds and connectivity issues. I was paying through electronic check, which was convenient, but the service itself did not meet my expectations. I hope the provider can improve their service in the future.",1525
7663-RGWBC,Male,0,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,44.15,44.15,"I recently signed up for DSL internet service with this provider on a month-to-month contract. However, after just one month, I decided to cancel due to slow and inconsistent internet speeds. The monthly charges of $44.15 were reasonable, but the service did not meet my expectations. I also found the payment method of mailing a check to be inconvenient compared to other options. Overall, I was disappointed with my experience and have decided to switch to a different internet provider.",6983
7825-ECJRF,Female,0,No,No,19,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,106.6,1934.45,"I recently decided to cancel my service with this provider after being with them for almost 2 years on a month-to-month contract. The monthly charges were reasonable at $106.6 for fiber optic internet service. However, I found that the service was not as reliable as I had hoped and I experienced frequent outages. Additionally, I was not satisfied with the customer service experience when trying to resolve these issues. I ultimately decided to switch to a different provider that offered better reliability and customer support.",5083
7879-CGSFV,Male,0,No,No,55,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Mailed check,100.9,5552.05,"I have been a loyal customer of this company for 55 months now and have been extremely satisfied with the service. The fiber optic internet service has been fast and reliable, and the monthly charges of $100.9 are reasonable for the quality of service provided. I appreciate being able to pay by mailing a check, as it is a convenient and secure payment method for me. Overall, I have had a positive experience with this company and would highly recommend it to others.",9327
8626-XHBIE,Male,0,No,Yes,56,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,24.8,1424.2,"I have been a customer with this company for over 4 and a half years now and I have been very satisfied with the service. Even though I do not have internet service with them, I appreciate the affordable monthly charges and the convenience of being able to pay by mailing a check. I have had no issues with billing or customer service and I have no plans to switch providers. Overall, I am a happy and loyal customer.",7482
7010-BRBUU,Male,0,Yes,Yes,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),24.1,1734.65,"I have been a customer with this company for 6 years now and I have been very satisfied with the service. The monthly charges are very affordable at $24.1 and I appreciate the convenience of automatic credit card payments. Even though I do not have internet service with this company, I have had no issues with the other services I receive. Overall, I have no complaints and would definitely recommend this company to others.",4442
8513-OLYGY,Male,0,Yes,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),115.8,8332.15,"I have been a customer with this company for six years now and have been extremely satisfied with the service provided. The fiber optic internet service has been reliable and fast, allowing me to stream movies, work from home, and stay connected with friends and family without any interruptions. The automatic credit card payments make it convenient for me to pay my monthly bill on time without having to worry about missing a payment. Overall, I have had a positive experience with this company and would highly recommend their services to others.",9446
